StrainID,Prefix,Forward,Reverse
C103,C103,C103/171006_K00166_0274_BHLLJ2BBXX_1_TP-D7-001_TP-D5-005_1.fastq.gz,C103/171006_K00166_0274_BHLLJ2BBXX_1_TP-D7-001_TP-D5-005_2.fastq.gz
C106,C106,C106/171006_K00166_0274_BHLLJ2BBXX_1_TP-D7-001_TP-D5-008_1.fastq.gz,C106/171006_K00166_0274_BHLLJ2BBXX_1_TP-D7-001_TP-D5-008_2.fastq.gz
C116,C116,C116/171006_K00166_0274_BHLLJ2BBXX_1_TP-D7-003_TP-D5-002_1.fastq.gz,C116/171006_K00166_0274_BHLLJ2BBXX_1_TP-D7-003_TP-D5-002_2.fastq.gz
C192,C192,C192/171006_K00166_0274_BHLLJ2BBXX_1_TP-D7-012_TP-D5-008_1.fastq.gz,C192/171006_K00166_0274_BHLLJ2BBXX_1_TP-D7-012_TP-D5-008_2.fastq.gz
C202,C202,C202/180202_K00166_0334_BHNTMFBBXX_4_TP-D7-002_TP-D5-001_1.fastq.gz,C202/180202_K00166_0334_BHNTMFBBXX_4_TP-D7-002_TP-D5-001_2.fastq.gz
C216,C216,C216/180202_K00166_0334_BHNTMFBBXX_4_TP-D7-003_TP-D5-007_1.fastq.gz,C216/180202_K00166_0334_BHNTMFBBXX_4_TP-D7-003_TP-D5-007_2.fastq.gz
C226,C226,C226/180202_K00166_0334_BHNTMFBBXX_4_TP-D7-005_TP-D5-001_1.fastq.gz,C226/180202_K00166_0334_BHNTMFBBXX_4_TP-D7-005_TP-D5-001_2.fastq.gz
C234,C234,C234/180202_K00166_0334_BHNTMFBBXX_4_TP-D7-006_TP-D5-001_1.fastq.gz,C234/180202_K00166_0334_BHNTMFBBXX_4_TP-D7-006_TP-D5-001_2.fastq.gz
C257,C257,C257/180202_K00166_0334_BHNTMFBBXX_4_TP-D7-008_TP-D5-008_1.fastq.gz,C257/180202_K00166_0334_BHNTMFBBXX_4_TP-D7-008_TP-D5-008_2.fastq.gz
C263,C263,C263/180202_K00166_0334_BHNTMFBBXX_4_TP-D7-009_TP-D5-006_1.fastq.gz,C263/180202_K00166_0334_BHNTMFBBXX_4_TP-D7-009_TP-D5-006_2.fastq.gz
C340,C340,C340/180907_E00306_0370_AHMNKHCCXY_1_11373FM0032L01_1.fastq.gz,C340/180907_E00306_0370_AHMNKHCCXY_1_11373FM0032L01_2.fastq.gz
C39,C39,C39/170309_K00166_0192_BHHMH3BBXX_6_TP-D7-005_TP-D5-006_1.fastq.gz,C39/170309_K00166_0192_BHHMH3BBXX_6_TP-D7-005_TP-D5-006_2.fastq.gz
